Linux,2.6.32-21-generic,(niuhicore2),	03/29/2011,	_x86_64_	(16,CPU)

12:00:01,AM,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%idle
02:05:01,AM,2,4.46,0.01,0.47,0.47,0.00,0.00,0.13,0.00,94.46
02:05:01,AM,3,4.49,0.00,0.41,0.38,0.00,0.00,0.15,0.00,94.57
02:05:01,AM,4,5.92,0.03,1.06,4.41,0.00,0.00,0.27,0.00,88.31
02:05:01,AM,5,5.06,0.01,0.68,1.57,0.00,0.00,0.13,0.00,92.54
02:05:01,AM,6,4.67,0.00,0.46,0.91,0.00,0.00,0.11,0.00,93.85
02:05:01,AM,7,4.39,0.00,0.37,0.90,0.00,0.00,0.15,0.00,94.19
02:05:01,AM,8,3.85,0.01,0.72,0.58,0.00,0.00,0.22,0.00,94.61
02:05:01,AM,9,4.73,0.02,0.61,0.66,0.00,0.00,0.14,0.00,93.85
02:05:01,AM,10,5.13,0.00,0.53,0.68,0.00,0.00,0.17,0.00,93.49
02:05:01,AM,11,4.30,0.01,0.47,1.41,0.00,0.00,0.12,0.00,93.69
02:05:01,AM,12,3.31,0.00,0.36,0.15,0.00,0.00,0.09,0.00,96.09
02:05:01,AM,13,3.61,0.03,0.53,1.04,0.00,0.00,0.09,0.00,94.70
02:05:01,AM,14,5.59,0.01,0.79,0.73,0.00,0.00,0.19,0.00,92.68
02:05:01,AM,15,3.07,0.03,0.50,0.64,0.00,0.00,0.10,0.00,95.68
02:15:01,AM,all,4.72,0.01,0.55,0.71,0.00,0.00,0.15,0.00,93.84
02:15:01,AM,0,6.52,0.00,0.67,1.97,0.00,0.00,0.20,0.00,90.63
02:15:01,AM,1,5.12,0.01,0.69,1.24,0.00,0.00,0.18,0.00,92.75
02:15:01,AM,2,4.96,0.00,0.44,0.55,0.00,0.00,0.15,0.00,93.89
02:15:01,AM,3,5.26,0.00,0.57,1.46,0.00,0.04,0.28,0.00,92.39
02:15:01,AM,4,6.67,0.05,0.92,1.95,0.00,0.00,0.30,0.00,90.12
02:15:01,AM,5,5.10,0.01,0.61,0.62,0.00,0.00,0.14,0.00,93.52
02:15:01,AM,6,4.03,0.00,0.47,0.15,0.00,0.00,0.12,0.00,95.23
02:15:01,AM,7,3.97,0.00,0.32,0.28,0.00,0.00,0.13,0.00,95.29
02:15:01,AM,8,4.19,0.00,0.37,0.29,0.00,0.00,0.16,0.00,94.98
02:15:01,AM,9,4.22,0.04,0.97,0.27,0.00,0.00,0.13,0.00,94.37
02:15:01,AM,10,3.47,0.00,0.32,0.68,0.00,0.00,0.09,0.00,95.45
02:15:01,AM,11,3.46,0.02,0.46,0.26,0.00,0.00,0.07,0.00,95.72
02:15:01,AM,12,3.62,0.01,0.44,0.07,0.00,0.00,0.12,0.00,95.74
02:15:01,AM,13,4.97,0.02,0.52,0.40,0.00,0.00,0.12,0.00,93.97
02:15:01,AM,14,5.56,0.01,0.69,0.36,0.00,0.00,0.18,0.00,93.21
02:15:01,AM,15,4.44,0.02,0.39,0.79,0.00,0.00,0.11,0.00,94.24
02:25:01,AM,all,4.52,0.01,0.59,1.35,0.00,0.00,0.16,0.00,93.36
02:25:01,AM,0,5.85,0.03,0.61,2.81,0.00,0.00,0.13,0.00,90.56
02:25:01,AM,1,5.72,0.01,0.82,3.01,0.00,0.00,0.16,0.00,90.28
02:25:01,AM,2,4.52,0.01,0.69,1.41,0.00,0.00,0.12,0.00,93.25
02:25:01,AM,3,4.72,0.00,0.64,2.23,0.00,0.05,0.27,0.00,92.09
02:25:01,AM,4,6.03,0.03,1.15,5.34,0.00,0.00,0.39,0.00,87.04
02:25:01,AM,5,5.33,0.00,0.61,0.65,0.00,0.00,0.17,0.00,93.24
02:25:01,AM,6,4.77,0.01,0.46,0.95,0.00,0.00,0.12,0.00,93.70
02:25:01,AM,7,3.58,0.00,0.40,0.63,0.00,0.00,0.11,0.00,95.28
02:25:01,AM,8,3.68,0.01,0.42,0.56,0.00,0.00,0.15,0.00,95.18
02:25:01,AM,9,3.88,0.03,0.47,0.62,0.00,0.00,0.11,0.00,94.89
02:25:01,AM,10,3.83,0.01,0.51,0.56,0.00,0.00,0.14,0.00,94.96
02:25:01,AM,11,3.46,0.00,0.59,0.61,0.00,0.01,0.13,0.00,95.21
02:25:01,AM,12,3.67,0.01,0.48,0.06,0.00,0.00,0.12,0.00,95.65
02:25:01,AM,13,4.02,0.03,0.52,0.78,0.00,0.00,0.10,0.00,94.55
02:25:01,AM,14,5.32,0.01,0.73,0.85,0.00,0.00,0.19,0.00,92.91
02:25:01,AM,15,3.88,0.01,0.41,0.55,0.00,0.00,0.11,0.00,95.04
02:35:01,AM,all,4.41,0.01,0.52,0.36,0.00,0.00,0.14,0.00,94.56
02:35:01,AM,0,5.87,0.02,0.67,0.74,0.00,0.01,0.18,0.00,92.51
02:35:01,AM,1,4.54,0.01,0.74,1.04,0.00,0.00,0.18,0.00,93.48
02:35:01,AM,2,5.30,0.00,0.62,0.42,0.00,0.01,0.17,0.00,93.47
02:35:01,AM,3,4.45,0.00,0.43,0.58,0.00,0.03,0.18,0.00,94.33
02:35:01,AM,4,5.05,0.04,0.90,1.24,0.00,0.00,0.21,0.00,92.57
02:35:01,AM,5,4.98,0.00,0.46,0.43,0.00,0.00,0.12,0.00,94.00
02:35:01,AM,6,3.92,0.01,0.40,0.07,0.00,0.00,0.10,0.00,95.51
02:35:01,AM,7,5.43,0.00,0.32,0.30,0.00,0.00,0.12,0.00,93.83
02:35:01,AM,8,3.52,0.01,0.54,0.08,0.00,0.00,0.14,0.00,95.70
02:35:01,AM,9,4.68,0.01,0.53,0.22,0.00,0.00,0.14,0.00,94.42
02:35:01,AM,10,4.35,0.01,0.47,0.07,0.00,0.00,0.11,0.00,94.99
02:35:01,AM,11,3.38,0.01,0.38,0.16,0.00,0.00,0.09,0.00,95.98
02:35:01,AM,12,3.66,0.01,0.31,0.02,0.00,0.00,0.12,0.00,95.88
02:35:01,AM,13,3.17,0.04,0.62,0.09,0.00,0.00,0.09,0.00,95.98
02:35:01,AM,14,5.36,0.00,0.60,0.17,0.00,0.00,0.15,0.00,93.72
02:35:01,AM,15,2.89,0.02,0.30,0.12,0.00,0.00,0.09,0.00,96.59
02:45:01,AM,all,4.50,0.01,0.55,1.00,0.00,0.00,0.14,0.00,93.79
02:45:01,AM,0,5.54,0.03,0.92,2.42,0.00,0.02,0.15,0.00,90.91
02:45:01,AM,1,5.29,0.00,0.80,1.59,0.00,0.01,0.22,0.00,92.09
02:45:01,AM,2,5.03,0.00,0.49,1.30,0.00,0.02,0.22,0.00,92.92
02:45:01,AM,3,4.66,0.00,0.42,0.90,0.00,0.00,0.11,0.00,93.91
02:45:01,AM,4,5.60,0.01,0.92,3.81,0.00,0.00,0.34,0.00,89.33
